sequence_id,length,variant,selected_for_simulation,selected_for_hardware,num_variables,num_quadratic_terms
synth_000289,18,postprocessed,True,False,17,0
synth_000251,18,strict,True,False,19,166
synth_000251,18,relaxed,True,False,19,137
synth_000251,18,postprocessed,True,False,19,0
synth_000263,18,strict,True,False,20,154
synth_000263,18,relaxed,True,False,20,130
synth_000263,18,postprocessed,True,False,20,0
synth_000337,19,strict,True,False,4,6
synth_000337,19,relaxed,True,False,4,6
synth_000337,19,postprocessed,True,False,4,0
synth_000313,19,strict,True,False,5,10
synth_000313,19,relaxed,True,False,5,8
synth_000313,19,postprocessed,True,False,5,0
synth_000316,19,strict,True,False,6,13
synth_000316,19,relaxed,True,False,6,11
synth_000316,19,postprocessed,True,False,6,0
synth_000301,19,strict,True,False,7,20
synth_000301,19,relaxed,True,False,7,20
synth_000301,19,postprocessed,True,False,7,0
synth_000317,19,strict,True,False,8,24
synth_000317,19,relaxed,True,False,8,24
synth_000317,19,postprocessed,True,False,8,0
synth_000320,19,strict,True,False,8,26
synth_000320,19,relaxed,True,False,8,20
synth_000320,19,postprocessed,True,False,8,0
synth_000324,19,strict,True,False,8,28
synth_000324,19,relaxed,True,False,8,28
synth_000324,19,postprocessed,True,False,8,0
synth_000334,19,strict,True,False,8,23
synth_000334,19,relaxed,True,False,8,23
synth_000334,19,postprocessed,True,False,8,0
synth_000331,19,strict,True,False,9,32
synth_000331,19,relaxed,True,False,9,29
synth_000331,19,postprocessed,True,False,9,0
synth_000343,19,strict,True,False,9,29
synth_000343,19,relaxed,True,False,9,19
synth_000343,19,postprocessed,True,False,9,0
synth_000344,19,strict,True,False,9,29
synth_000344,19,relaxed,True,False,9,22
synth_000344,19,postprocessed,True,False,9,0
synth_000318,19,strict,True,False,10,44
synth_000318,19,relaxed,True,False,10,31
synth_000318,19,postprocessed,True,False,10,0
synth_000335,19,strict,True,False,11,47
synth_000335,19,relaxed,True,False,11,38
synth_000335,19,postprocessed,True,False,11,0
synth_000338,19,strict,True,False,11,53
synth_000338,19,relaxed,True,False,11,46
synth_000338,19,postprocessed,True,False,11,0
synth_000345,19,strict,True,False,11,43
synth_000345,19,relaxed,True,False,11,40
synth_000345,19,postprocessed,True,False,11,0
synth_000319,19,strict,True,False,12,62
synth_000319,19,relaxed,True,False,12,44
synth_000319,19,postprocessed,True,False,12,0
synth_000349,19,strict,True,False,12,63
synth_000349,19,relaxed,True,False,12,44
synth_000349,19,postprocessed,True,False,12,0
synth_000307,19,strict,True,False,14,90
synth_000307,19,relaxed,True,False,14,64
synth_000307,19,postprocessed,True,False,14,0
synth_000321,19,strict,True,False,14,89
synth_000321,19,relaxed,True,False,14,74
synth_000321,19,postprocessed,True,False,14,0
synth_000327,19,strict,True,False,14,86
synth_000327,19,relaxed,True,False,14,80
synth_000327,19,postprocessed,True,False,14,0
synth_000348,19,strict,True,False,14,76
synth_000348,19,relaxed,True,False,14,65
synth_000348,19,postprocessed,True,False,14,0
synth_000304,19,strict,True,False,15,78
synth_000304,19,relaxed,True,False,15,60
synth_000304,19,postprocessed,True,False,15,0
synth_000350,19,strict,True,False,15,99
synth_000350,19,relaxed,True,False,15,91
synth_000350,19,postprocessed,True,False,15,0
synth_000311,19,strict,True,False,17,100
synth_000311,19,relaxed,True,False,17,84
synth_000311,19,postprocessed,True,False,17,0
synth_000332,19,strict,True,False,17,127
synth_000332,19,relaxed,True,False,17,97
synth_000332,19,postprocessed,True,False,17,0
synth_000346,19,strict,True,False,17,121
synth_000346,19,relaxed,True,False,17,75
synth_000346,19,postprocessed,True,False,17,0
synth_000309,19,strict,True,False,18,147
synth_000309,19,relaxed,True,False,18,112
synth_000309,19,postprocessed,True,False,18,0
synth_000315,19,strict,True,False,18,138
synth_000315,19,relaxed,True,False,18,103
synth_000315,19,postprocessed,True,False,18,0
synth_000323,19,strict,True,False,18,125
synth_000323,19,relaxed,True,False,18,113
synth_000323,19,postprocessed,True,False,18,0
synth_000333,19,strict,True,False,18,129
synth_000333,19,relaxed,True,False,18,84
synth_000333,19,postprocessed,True,False,18,0
synth_000365,20,strict,True,True,2,1
synth_000365,20,relaxed,True,True,2,1
synth_000365,20,postprocessed,True,True,2,0
synth_000384,20,strict,True,True,4,5
synth_000384,20,relaxed,True,True,4,3
synth_000384,20,postprocessed,True,True,4,0
synth_000373,20,strict,True,True,5,10
synth_000373,20,relaxed,True,True,5,10
synth_000373,20,postprocessed,True,True,5,0
synth_000364,20,strict,True,True,6,14
synth_000364,20,relaxed,True,True,6,9
synth_000364,20,postprocessed,True,True,6,0
synth_000395,20,strict,True,True,7,21
synth_000395,20,relaxed,True,True,7,15
